Chain SINGH,SHINDM0504198901,IND,10.7,10.2,9.9,10.0,10.2,10.7,10.2,9.9,10.0,10.2,10.5,10.7,10.2,10.5,9.9,10.5,10.7,10.2,10.5,9.9,10.6,9.9,9.9,10.5,10.6,10.6,9.9,9.9,10.5,10.6,10.8,9.4,10.9,10.7,10.0,10.8,9.4,10.9,10.7,10.0,10.6,10.3,10.7,10.5,10.7,10.6,10.3,10.7,10.5,10.7,10.8,10.0,10.7,10.3,10.1,10.8,10.0,10.7,10.3,10.1
Yury SHCHERBATSEVICH,SHBLRM1107198401,BLR,9.8,10.5,10.3,10.2,10.5,9.8,10.5,10.3,10.2,10.5,10.3,10.7,10.9,10.2,10.1,10.3,10.7,10.9,10.2,10.1,10.6,10.6,10.7,10.3,10.2,10.6,10.6,10.7,10.3,10.2,10.1,10.8,10.1,10.5,10.2,10.1,10.8,10.1,10.5,10.2,10.7,10.7,10.1,10.5,10.6,10.7,10.7,10.1,10.5,10.6,10.5,10.6,10.2,10.3,10.3,10.5,10.6,10.2,10.3,10.3
Faiz AL ANAZI,SHKSAM1403198101,KSA,9.8,10.6,9.8,9.7,10.6,9.8,10.6,9.8,9.7,10.6,9.8,10.6,10.8,9.6,9.4,9.8,10.6,10.8,9.6,9.4,10.3,9.5,9.9,10.2,10.4,10.3,9.5,9.9,10.2,10.4,10.6,9.9,9.8,10.1,10.2,10.6,9.9,9.8,10.1,10.2,10.1,10.1,9.8,10.7,10.7,10.1,10.1,9.8,10.7,10.7,10.5,10.2,10.4,10.6,10.0,10.5,10.2,10.4,10.6,10.0
Zeljko MOICEVIC,SHSLOM2706198401,SLO,9.8,10.6,10.0,10.4,10.3,9.8,10.6,10.0,10.4,10.3,9.7,10.2,9.4,10.1,9.5,9.7,10.2,9.4,10.1,9.5,10.2,10.7,10.1,10.3,10.2,10.2,10.7,10.1,10.3,10.2,10.4,9.1,10.0,10.3,10.5,10.4,9.1,10.0,10.3,10.5,10.4,10.1,10.3,10.4,10.4,10.4,10.1,10.3,10.4,10.4,10.7,10.5,10.7,10.7,10.5,10.7,10.5,10.7,10.7,10.5
Illia CHARHEIKA,SHBLRM1504199301,BLR,9.7,10.7,10.4,10.3,9.6,9.7,10.7,10.4,10.3,9.6,10.0,10.5,10.9,10.2,10.4,10.0,10.5,10.9,10.2,10.4,10.7,10.4,10.7,10.3,10.4,10.7,10.4,10.7,10.3,10.4,10.2,10.5,10.3,10.8,10.0,10.2,10.5,10.3,10.8,10.0,10.6,10.1,10.3,10.5,10.8,10.6,10.1,10.3,10.5,10.8,10.5,10.4,10.0,10.4,10.6,10.5,10.4,10.0,10.4,10.6
Michael Sean BAMSEY,SHGBRM0606199301,GBR,9.7,10.2,10.8,10.2,10.4,9.7,10.2,10.8,10.2,10.4,10.3,9.8,10.3,9.7,9.2,10.3,9.8,10.3,9.7,9.2,10.2,10.7,10.0,10.4,10.6,10.2,10.7,10.0,10.4,10.6,10.1,10.1,9.8,10.7,9.8,10.1,10.1,9.8,10.7,9.8,9.2,9.8,10.4,10.3,10.1,9.2,9.8,10.4,10.3,10.1,10.3,10.0,10.6,10.6,10.6,10.3,10.0,10.6,10.6,10.6
Haoran YANG,SHCHNM2202199601,CHN,10.8,10.1,10.8,9.9,10.3,10.8,10.1,10.8,9.9,10.3,10.7,10.5,10.6,10.7,10.6,10.7,10.5,10.6,10.7,10.6,10.5,10.3,10.3,10.8,10.6,10.5,10.3,10.3,10.8,10.6,10.5,10.6,10.4,10.2,10.8,10.5,10.6,10.4,10.2,10.8,10.5,10.9,10.5,10.4,10.8,10.5,10.9,10.5,10.4,10.8,10.6,10.2,10.3,10.6,10.7,10.6,10.2,10.3,10.6,10.7
Michael JANKER,SHGERM2303199201,GER,10.6,10.7,10.6,10.7,10.4,10.6,10.7,10.6,10.7,10.4,10.0,10.4,9.9,10.2,10.4,10.0,10.4,9.9,10.2,10.4,10.8,10.6,9.6,10.6,10.5,10.8,10.6,9.6,10.6,10.5,10.4,10.6,10.0,10.4,10.6,10.4,10.6,10.0,10.4,10.6,10.6,10.6,10.5,10.5,10.6,10.6,10.6,10.5,10.5,10.6,10.5,10.1,10.0,10.7,10.9,10.5,10.1,10.0,10.7,10.9
Oscar GUTIERREZ,SHESPM0603197301,ESP,9.8,10.3,10.5,10.3,10.6,9.8,10.3,10.5,10.3,10.6,10.3,9.7,10.4,10.2,10.2,10.3,9.7,10.4,10.2,10.2,9.6,10.8,10.2,10.0,10.0,9.6,10.8,10.2,10.0,10.0,10.7,10.3,10.0,10.3,10.3,10.7,10.3,10.0,10.3,10.3,9.7,10.5,9.8,10.7,10.5,9.7,10.5,9.8,10.7,10.5,10.1,10.0,10.5,10.0,10.0,10.1,10.0,10.5,10.0,10.0
Bayaraa NYANTAI,SHMGLM2509199101,MGL,9.8,10.6,10.9,10.8,10.2,9.8,10.6,10.9,10.8,10.2,10.2,10.2,10.6,10.0,10.6,10.2,10.2,10.6,10.0,10.6,10.4,10.4,10.7,10.4,9.8,10.4,10.4,10.7,10.4,9.8,10.7,10.2,9.7,10.5,9.6,10.7,10.2,9.7,10.5,9.6,10.5,10.3,10.2,10.9,10.5,10.5,10.3,10.2,10.9,10.5,10.5,10.9,10.6,10.2,10.6,10.5,10.9,10.6,10.2,10.6
