Vaclav HAMAN,SHCZEM1807198601,CZE,10.3,10.5,10.5,9.9,10.4,10.3,10.5,10.5,9.9,10.4,10.6,10.4,10.0,10.6,9.8,10.6,10.4,10.0,10.6,9.8,10.9,10.9,10.7,10.3,10.8,10.9,10.9,10.7,10.3,10.8,10.6,10.6,10.1,10.6,9.9,10.6,10.6,10.1,10.6,9.9,10.2,10.2,10.8,10.6,10.7,10.2,10.2,10.8,10.6,10.7,10.6,10.3,10.0,10.8,10.6,10.6,10.3,10.0,10.8,10.6
Endre HAGELUND,SHNORM1206199101,NOR,10.7,10.6,10.5,10.2,10.1,10.7,10.6,10.5,10.2,10.1,10.0,10.7,10.2,10.7,10.3,10.0,10.7,10.2,10.7,10.3,10.5,10.2,10.0,10.5,10.9,10.5,10.2,10.0,10.5,10.9,10.8,10.5,10.7,10.1,9.6,10.8,10.5,10.7,10.1,9.6,10.2,10.2,10.9,9.7,10.5,10.2,10.2,10.9,9.7,10.5,10.3,10.5,10.6,10.4,10.2,10.3,10.5,10.6,10.4,10.2
Yifei CAO,SHCHNM2005198801,CHN,10.6,10.3,10.4,10.4,10.3,10.6,10.3,10.4,10.4,10.3,10.2,10.2,10.2,10.3,10.9,10.2,10.2,10.2,10.3,10.9,10.7,10.3,10.6,10.5,10.7,10.7,10.3,10.6,10.5,10.7,10.2,10.1,9.6,9.8,10.5,10.2,10.1,9.6,9.8,10.5,10.1,10.4,10.6,10.3,10.7,10.1,10.4,10.6,10.3,10.7,10.1,10.3,10.7,10.1,10.0,10.1,10.3,10.7,10.1,10.0
Zeljko MOICEVIC,SHSLOM2706198401,SLO,10.3,10.0,10.8,10.3,10.3,10.3,10.0,10.8,10.3,10.3,10.4,10.9,10.7,10.1,10.8,10.4,10.9,10.7,10.1,10.8,10.2,10.4,10.8,10.5,10.1,10.2,10.4,10.8,10.5,10.1,10.4,10.6,10.0,9.6,9.2,10.4,10.6,10.0,9.6,9.2,10.5,10.5,10.7,10.2,10.7,10.5,10.5,10.7,10.2,10.7,10.1,10.6,10.3,10.6,10.5,10.1,10.6,10.3,10.6,10.5
Petar GORSA,SHCROM1101198801,CRO,9.6,9.9,10.8,10.6,10.1,9.6,9.9,10.8,10.6,10.1,10.5,10.6,10.4,10.7,10.8,10.5,10.6,10.4,10.7,10.8,10.5,10.5,10.6,10.8,10.5,10.5,10.5,10.6,10.8,10.5,10.8,10.1,10.5,9.9,10.7,10.8,10.1,10.5,9.9,10.7,10.2,10.8,10.6,10.3,10.3,10.2,10.8,10.6,10.3,10.3,10.5,10.2,10.4,10.0,10.6,10.5,10.2,10.4,10.0,10.6
Henri JUNGHAENEL,SHGERM0502198801,GER,10.4,10.7,10.3,10.6,10.4,10.4,10.7,10.3,10.6,10.4,10.0,9.7,10.8,10.1,10.6,10.0,9.7,10.8,10.1,10.6,10.3,10.5,10.6,10.9,10.6,10.3,10.5,10.6,10.9,10.6,10.3,10.7,9.4,10.5,10.7,10.3,10.7,9.4,10.5,10.7,10.5,10.9,10.2,10.5,10.5,10.5,10.9,10.2,10.5,10.5,10.3,10.4,9.7,10.5,10.2,10.3,10.4,9.7,10.5,10.2
Julian JUSTUS,SHGERM2901198801,GER,10.1,9.8,10.3,10.3,9.9,10.1,9.8,10.3,10.3,9.9,10.1,10.6,10.5,10.7,10.5,10.1,10.6,10.5,10.7,10.5,10.4,10.7,10.4,10.2,10.1,10.4,10.7,10.4,10.2,10.1,10.7,10.2,10.7,9.9,10.5,10.7,10.2,10.7,9.9,10.5,10.6,10.0,10.5,10.1,10.5,10.6,10.0,10.5,10.1,10.5,10.2,10.7,10.1,10.6,10.3,10.2,10.7,10.1,10.6,10.3
Raul Jun VARGAS,SHVENM1702198601,VEN,9.5,10.9,9.7,10.7,9.9,9.5,10.9,9.7,10.7,9.9,10.7,9.5,9.5,10.7,9.4,10.7,9.5,9.5,10.7,9.4,9.2,10.2,8.9,10.6,10.7,9.2,10.2,8.9,10.6,10.7,9.1,10.2,10.5,10.2,10.7,9.1,10.2,10.5,10.2,10.7,10.2,9.9,10.4,8.9,9.9,10.2,9.9,10.4,8.9,9.9,9.3,10.5,10.1,10.7,9.9,9.3,10.5,10.1,10.7,9.9
Peter HELLENBRAND,SHNEDM0712198501,NED,9.9,10.5,9.7,10.6,10.2,9.9,10.5,9.7,10.6,10.2,10.4,9.8,10.2,10.5,10.2,10.4,9.8,10.2,10.5,10.2,10.7,10.2,10.5,10.3,9.9,10.7,10.2,10.5,10.3,9.9,10.4,10.0,10.7,10.6,10.6,10.4,10.0,10.7,10.6,10.6,10.6,10.5,10.0,10.0,10.5,10.6,10.5,10.0,10.0,10.5,10.5,10.9,10.7,10.1,10.7,10.5,10.9,10.7,10.1,10.7
Bernhard PICKL,SHAUTM0303199101,AUT,10.1,10.2,10.5,10.6,10.2,10.1,10.2,10.5,10.6,10.2,10.0,10.6,10.6,10.4,9.5,10.0,10.6,10.6,10.4,9.5,10.8,10.7,10.1,10.7,9.9,10.8,10.7,10.1,10.7,9.9,10.4,9.8,10.6,9.9,10.0,10.4,9.8,10.6,9.9,10.0,10.2,9.9,10.4,10.4,10.4,10.2,9.9,10.4,10.4,10.4,10.5,9.8,10.2,10.3,10.5,10.5,9.8,10.2,10.3,10.5
Jose Santos VALDES MARTINEZ,SHMEXM0108199701,MEX,9.8,10.1,10.6,10.0,10.3,9.8,10.1,10.6,10.0,10.3,10.5,10.3,10.7,10.8,10.3,10.5,10.3,10.7,10.8,10.3,9.9,10.2,9.9,10.8,10.5,9.9,10.2,9.9,10.8,10.5,10.4,10.5,9.9,10.0,10.5,10.4,10.5,9.9,10.0,10.5,10.7,10.5,10.5,10.3,10.4,10.7,10.5,10.5,10.3,10.4,9.9,10.5,10.3,10.1,10.1,9.9,10.5,10.3,10.1,10.1
Gerardo Emiliano CHAIRES,SHMEXM1811199401,MEX,10.2,10.3,10.4,9.9,10.3,10.2,10.3,10.4,9.9,10.3,10.5,9.7,10.2,9.9,10.2,10.5,9.7,10.2,9.9,10.2,10.2,10.2,10.6,10.2,10.1,10.2,10.2,10.6,10.2,10.1,10.3,10.5,9.7,10.7,10.8,10.3,10.5,9.7,10.7,10.8,10.8,10.6,10.5,10.5,10.4,10.8,10.6,10.5,10.5,10.4,10.6,9.9,9.9,10.5,10.0,10.6,9.9,9.9,10.5,10.0
Leonardo MOREIRA,SHBRAM1306197801,BRA,10.4,10.5,9.5,10.4,10.0,10.4,10.5,9.5,10.4,10.0,10.3,10.3,9.7,10.8,10.0,10.3,10.3,9.7,10.8,10.0,10.5,10.6,9.8,9.8,8.9,10.5,10.6,9.8,9.8,8.9,10.5,10.3,10.2,9.8,9.8,10.5,10.3,10.2,9.8,9.8,9.9,9.9,10.6,10.7,10.4,9.9,9.9,10.6,10.7,10.4,10.4,10.2,10.3,10.7,10.5,10.4,10.2,10.3,10.7,10.5
Ali AL MUHANADI,SHQATM0310199001,QAT,10.4,10.8,10.4,10.6,9.6,10.4,10.8,10.4,10.6,9.6,10.6,10.7,10.3,9.7,10.6,10.6,10.7,10.3,9.7,10.6,10.6,9.9,9.6,10.1,10.4,10.6,9.9,9.6,10.1,10.4,10.3,10.5,10.4,10.2,10.5,10.3,10.5,10.4,10.2,10.5,10.4,9.8,9.7,10.3,10.7,10.4,9.8,9.7,10.3,10.7,10.1,10.2,10.1,9.9,10.6,10.1,10.2,10.1,9.9,10.6
Pascal LORETAN,SHSUIM2001198901,SUI,9.4,10.6,10.5,10.7,10.7,9.4,10.6,10.5,10.7,10.7,10.3,10.3,9.7,10.4,10.8,10.3,10.3,9.7,10.4,10.8,10.4,10.9,9.4,10.7,10.3,10.4,10.9,9.4,10.7,10.3,10.3,10.7,10.6,10.3,9.9,10.3,10.7,10.6,10.3,9.9,10.2,10.4,10.8,10.5,10.7,10.2,10.4,10.8,10.5,10.7,9.6,10.0,10.5,10.7,10.3,9.6,10.0,10.5,10.7,10.3
Milenko SEBIC,SHYUGM3012198401,SRB,10.2,10.2,10.7,10.5,10.7,10.2,10.2,10.7,10.5,10.7,10.6,10.6,10.3,10.5,10.5,10.6,10.6,10.3,10.5,10.5,10.3,10.3,10.4,9.9,10.3,10.3,10.3,10.4,9.9,10.3,10.3,10.9,10.6,10.7,10.1,10.3,10.9,10.6,10.7,10.1,10.1,9.5,10.4,10.6,10.9,10.1,9.5,10.4,10.6,10.9,10.4,10.8,10.9,10.3,10.6,10.4,10.8,10.9,10.3,10.6
Claude-Alain DELLEY,SHSUIM1301199001,SUI,10.6,10.7,10.5,10.5,10.2,10.6,10.7,10.5,10.5,10.2,10.2,10.2,10.4,10.4,10.7,10.2,10.2,10.4,10.4,10.7,10.3,10.6,10.4,10.5,10.5,10.3,10.6,10.4,10.5,10.5,10.2,10.3,10.7,10.2,10.7,10.2,10.3,10.7,10.2,10.7,10.4,10.6,10.7,9.7,10.1,10.4,10.6,10.7,9.7,10.1,9.9,10.4,10.0,10.7,10.3,9.9,10.4,10.0,10.7,10.3
Sergey KAMENSKIY,SHRUSM0710198701,RUS,10.6,10.8,10.5,10.1,10.0,10.6,10.8,10.5,10.1,10.0,10.8,10.3,10.6,10.6,10.5,10.8,10.3,10.6,10.6,10.5,10.4,10.5,10.3,10.4,10.2,10.4,10.5,10.3,10.4,10.2,10.1,10.0,10.2,10.5,10.5,10.1,10.0,10.2,10.5,10.5,10.8,10.8,10.9,9.9,10.3,10.8,10.8,10.9,9.9,10.3,10.5,10.3,10.5,10.4,10.7,10.5,10.3,10.5,10.4,10.7
Jeremy MONNIER,SHFRAM0505198901,FRA,10.3,10.9,10.6,10.1,10.4,10.3,10.9,10.6,10.1,10.4,10.5,10.5,10.7,10.7,10.5,10.5,10.5,10.7,10.7,10.5,10.4,10.3,10.4,10.6,10.3,10.4,10.3,10.4,10.6,10.3,10.1,10.8,10.2,10.5,10.1,10.1,10.8,10.2,10.5,10.1,10.4,10.3,10.1,10.3,10.2,10.4,10.3,10.1,10.3,10.2,10.6,10.2,10.8,10.6,10.7,10.6,10.2,10.8,10.6,10.7
Javier LOPEZ,SHESPM1503198901,ESP,10.4,10.6,10.1,9.5,9.9,10.4,10.6,10.1,9.5,9.9,10.8,9.7,10.1,10.5,10.7,10.8,9.7,10.1,10.5,10.7,9.9,10.0,10.0,10.2,10.1,9.9,10.0,10.0,10.2,10.1,9.7,10.0,10.0,9.3,10.0,9.7,10.0,10.0,9.3,10.0,10.3,10.3,9.5,10.5,9.9,10.3,10.3,9.5,10.5,9.9,10.5,10.0,10.0,10.1,10.0,10.5,10.0,10.0,10.1,10.0
Joni STENSTROM,SHFINM2912199401,FIN,10.7,10.1,10.8,10.5,10.5,10.7,10.1,10.8,10.5,10.5,10.8,10.0,9.6,10.1,10.8,10.8,10.0,9.6,10.1,10.8,10.5,10.2,10.0,10.1,10.1,10.5,10.2,10.0,10.1,10.1,10.0,9.9,10.4,10.2,10.4,10.0,9.9,10.4,10.2,10.4,9.5,10.4,9.7,9.5,10.4,9.5,10.4,9.7,9.5,10.4,10.7,8.6,10.9,10.7,10.0,10.7,8.6,10.9,10.7,10.0
Leor Ovadia MADLAL,SHISRM2205199001,ISR,10.7,10.5,10.0,10.4,10.5,10.7,10.5,10.0,10.4,10.5,10.5,10.4,10.7,10.2,10.6,10.5,10.4,10.7,10.2,10.6,10.3,10.0,10.6,9.8,10.3,10.3,10.0,10.6,9.8,10.3,10.1,10.8,10.8,10.1,10.4,10.1,10.8,10.8,10.1,10.4,10.6,10.3,10.1,10.5,10.2,10.6,10.3,10.1,10.5,10.2,10.7,10.3,10.4,10.7,10.5,10.7,10.3,10.4,10.7,10.5
Vitali BUBNOVICH,SHBLRM1211197401,BLR,10.6,10.1,10.2,10.6,10.6,10.6,10.1,10.2,10.6,10.6,10.6,10.5,10.1,10.2,10.4,10.6,10.5,10.1,10.2,10.4,10.2,10.6,10.8,10.2,10.6,10.2,10.6,10.8,10.2,10.6,10.0,10.1,10.3,10.6,9.9,10.0,10.1,10.3,10.6,9.9,10.5,10.5,10.6,10.6,10.7,10.5,10.5,10.6,10.6,10.7,10.1,10.6,10.7,10.3,9.9,10.1,10.6,10.7,10.3,9.9
Simon WEITHALER,SHITAM0101199301,ITA,9.7,10.1,10.3,10.6,9.2,9.7,10.1,10.3,10.6,9.2,10.7,9.7,10.7,10.7,10.1,10.7,9.7,10.7,10.7,10.1,10.1,10.8,10.1,10.2,10.4,10.1,10.8,10.1,10.2,10.4,10.7,9.9,10.1,10.1,10.2,10.7,9.9,10.1,10.1,10.2,10.5,10.2,10.0,10.5,9.7,10.5,10.2,10.0,10.5,9.7,10.6,10.3,10.0,10.8,10.7,10.6,10.3,10.0,10.8,10.7
Milutin STEFANOVIC,SHSCGM2301198501,SRB,10.5,10.2,10.5,10.5,10.7,10.5,10.2,10.5,10.5,10.7,10.4,10.2,10.3,10.6,10.6,10.4,10.2,10.3,10.6,10.6,10.6,10.8,10.7,10.6,10.3,10.6,10.8,10.7,10.6,10.3,10.1,10.7,10.3,10.7,10.7,10.1,10.7,10.3,10.7,10.7,10.5,9.9,10.8,10.0,10.8,10.5,9.9,10.8,10.0,10.8,10.4,9.6,10.4,10.6,10.4,10.4,9.6,10.4,10.6,10.4
Halil Ibrahim OZTURK,SHTURM0204197801,TUR,9.2,10.8,10.5,10.4,10.3,9.2,10.8,10.5,10.4,10.3,10.3,9.9,8.9,10.4,10.7,10.3,9.9,8.9,10.4,10.7,10.1,10.4,9.5,10.6,10.6,10.1,10.4,9.5,10.6,10.6,9.4,10.6,10.9,10.6,9.5,9.4,10.6,10.9,10.6,9.5,10.3,10.5,10.5,10.4,10.5,10.3,10.5,10.5,10.4,10.5,10.6,10.0,10.5,10.4,10.8,10.6,10.0,10.5,10.4,10.8
Bruno Lion HECK,SHBRAM1508198601,BRA,9.5,9.2,10.7,10.1,10.1,9.5,9.2,10.7,10.1,10.1,9.4,10.7,10.6,9.5,10.1,9.4,10.7,10.6,9.5,10.1,10.0,9.4,10.0,9.8,9.8,10.0,9.4,10.0,9.8,9.8,10.5,9.3,10.1,9.7,10.3,10.5,9.3,10.1,9.7,10.3,10.6,9.9,10.1,10.2,10.1,10.6,9.9,10.1,10.2,10.1,10.6,10.6,10.9,10.6,10.7,10.6,10.6,10.9,10.6,10.7
Omer AKGUN,SHTURM1502198201,TUR,10.7,10.6,10.0,10.1,9.4,10.7,10.6,10.0,10.1,9.4,10.9,10.7,10.0,9.3,10.0,10.9,10.7,10.0,9.3,10.0,10.7,10.0,10.1,10.7,10.5,10.7,10.0,10.1,10.7,10.5,10.1,10.4,10.3,10.3,10.9,10.1,10.4,10.3,10.3,10.9,10.5,10.2,10.4,9.7,10.0,10.5,10.2,10.4,9.7,10.0,9.1,10.8,10.5,10.3,10.7,9.1,10.8,10.5,10.3,10.7
Matic BARIC,SHSLOM0710198801,SLO,10.5,10.5,10.1,10.2,10.4,10.5,10.5,10.1,10.2,10.4,9.4,9.2,10.2,9.9,10.1,9.4,9.2,10.2,9.9,10.1,10.1,10.2,9.7,9.5,10.2,10.1,10.2,9.7,9.5,10.2,10.1,10.4,10.2,9.9,10.8,10.1,10.4,10.2,9.9,10.8,10.4,9.6,10.4,10.5,10.3,10.4,9.6,10.4,10.5,10.3,10.7,10.1,10.2,10.3,10.1,10.7,10.1,10.2,10.3,10.1
Lorenzo BACCI,SHITAM1412199401,ITA,9.7,9.8,9.5,10.3,9.9,9.7,9.8,9.5,10.3,9.9,10.5,10.4,10.2,10.2,10.4,10.5,10.4,10.2,10.2,10.4,10.6,10.7,10.5,10.3,10.8,10.6,10.7,10.5,10.3,10.8,10.4,9.7,10.7,10.0,10.4,10.4,9.7,10.7,10.0,10.4,10.6,10.1,10.8,10.1,9.9,10.6,10.1,10.8,10.1,9.9,10.2,9.8,10.6,10.0,10.2,10.2,9.8,10.6,10.0,10.2
Yuriy SUKHORUKOV,SHUKRM2903196801,UKR,9.9,9.6,10.3,10.2,10.1,9.9,9.6,10.3,10.2,10.1,9.8,10.9,10.2,10.0,10.6,9.8,10.9,10.2,10.0,10.6,10.3,10.5,10.2,10.6,10.7,10.3,10.5,10.2,10.6,10.7,10.0,10.7,10.9,10.3,10.5,10.0,10.7,10.9,10.3,10.5,9.6,10.4,10.4,10.5,10.4,9.6,10.4,10.4,10.5,10.4,10.7,10.6,10.5,9.7,10.1,10.7,10.6,10.5,9.7,10.1
Tomasz BARTNIK,SHPOLM1501199001,POL,10.4,10.3,10.4,9.8,10.5,10.4,10.3,10.4,9.8,10.5,10.5,10.3,10.2,10.7,10.4,10.5,10.3,10.2,10.7,10.4,10.3,10.1,10.7,10.0,9.9,10.3,10.1,10.7,10.0,9.9,10.5,10.2,10.2,10.5,10.0,10.5,10.2,10.2,10.5,10.0,10.1,10.3,10.0,10.6,10.7,10.1,10.3,10.0,10.6,10.7,10.6,10.2,10.0,10.2,10.1,10.6,10.2,10.0,10.2,10.1
Istvan KAPAS,SHHUNM0312199201,HUN,10.3,10.0,10.1,10.1,10.7,10.3,10.0,10.1,10.1,10.7,9.3,10.8,10.0,10.4,10.2,9.3,10.8,10.0,10.4,10.2,10.1,10.1,10.8,10.0,9.9,10.1,10.1,10.8,10.0,9.9,10.6,10.3,9.9,10.3,10.7,10.6,10.3,9.9,10.3,10.7,9.5,10.6,10.7,9.9,10.0,9.5,10.6,10.7,9.9,10.0,10.5,10.5,10.0,10.7,10.4,10.5,10.5,10.0,10.7,10.4
Mohd Hadafi JAAFAR,SHMASM1607198501,MAS,10.0,9.9,10.2,10.3,8.9,10.0,9.9,10.2,10.3,8.9,10.3,10.4,10.2,10.0,10.6,10.3,10.4,10.2,10.0,10.6,10.7,10.3,10.3,9.6,10.0,10.7,10.3,10.3,9.6,10.0,10.2,10.5,9.9,10.4,9.8,10.2,10.5,9.9,10.4,9.8,10.5,9.7,10.7,10.8,10.4,10.5,9.7,10.7,10.8,10.4,10.5,10.3,10.6,9.9,10.5,10.5,10.3,10.6,9.9,10.5
Alexey KLEIMYONOV,SHKAZM0901198401,KAZ,9.9,10.4,9.2,10.0,10.4,9.9,10.4,9.2,10.0,10.4,10.2,10.3,10.4,10.8,10.0,10.2,10.3,10.4,10.8,10.0,10.0,10.5,10.2,10.5,9.4,10.0,10.5,10.2,10.5,9.4,10.3,10.1,9.8,10.2,10.3,10.3,10.1,9.8,10.2,10.3,9.8,10.5,10.2,9.7,10.1,9.8,10.5,10.2,9.7,10.1,10.2,10.7,9.9,10.4,10.3,10.2,10.7,9.9,10.4,10.3
Ryan ANDERSON,SHUSAM1610199301,USA,10.3,9.9,10.3,9.7,10.0,10.3,9.9,10.3,9.7,10.0,9.9,10.2,9.9,9.6,10.5,9.9,10.2,9.9,9.6,10.5,10.1,10.0,10.5,10.4,10.3,10.1,10.0,10.5,10.4,10.3,9.3,9.8,10.3,10.1,10.3,9.3,9.8,10.3,10.1,10.3,10.0,10.0,10.9,10.7,10.4,10.0,10.0,10.9,10.7,10.4,10.1,10.2,10.3,10.5,10.6,10.1,10.2,10.3,10.5,10.6
Alexander SCHMIRL,SHAUTM1909198901,AUT,10.8,10.1,9.9,10.5,10.6,10.8,10.1,9.9,10.5,10.6,9.7,10.5,10.8,10.1,10.5,9.7,10.5,10.8,10.1,10.5,10.9,10.1,10.6,10.5,10.5,10.9,10.1,10.6,10.5,10.5,10.4,10.1,10.3,10.4,10.7,10.4,10.1,10.3,10.4,10.7,10.8,9.8,10.5,10.6,10.5,10.8,9.8,10.5,10.6,10.5,10.5,9.8,10.2,10.3,10.2,10.5,9.8,10.2,10.3,10.2
Benjamin TAYLOR,SHCANM1610199201,CAN,10.5,10.5,9.9,10.0,10.4,10.5,10.5,9.9,10.0,10.4,10.2,10.5,10.1,10.6,9.8,10.2,10.5,10.1,10.6,9.8,10.9,10.5,10.4,10.2,9.7,10.9,10.5,10.4,10.2,9.7,10.1,10.2,10.5,10.1,10.4,10.1,10.2,10.5,10.1,10.4,10.0,10.4,10.2,9.6,10.0,10.0,10.4,10.2,9.6,10.0,10.0,10.0,9.2,10.1,10.8,10.0,10.0,9.2,10.1,10.8
Stevan PLETIKOSIC,SHYUGM1403197201,SRB,9.4,9.7,10.5,10.3,10.6,9.4,9.7,10.5,10.3,10.6,10.5,10.3,10.4,10.8,10.6,10.5,10.3,10.4,10.8,10.6,10.3,10.8,10.6,10.5,10.7,10.3,10.8,10.6,10.5,10.7,10.4,10.1,10.7,10.6,10.9,10.4,10.1,10.7,10.6,10.9,10.3,10.7,10.6,10.6,9.9,10.3,10.7,10.6,10.6,9.9,10.6,9.6,10.1,10.8,10.6,10.6,9.6,10.1,10.8,10.6
Gernot RUMPLER,SHAUTM2102199401,AUT,10.6,10.0,10.5,10.0,10.6,10.6,10.0,10.5,10.0,10.6,10.4,9.9,10.6,9.7,10.1,10.4,9.9,10.6,9.7,10.1,10.2,10.7,10.5,10.6,9.9,10.2,10.7,10.5,10.6,9.9,10.4,10.3,10.0,9.5,10.3,10.4,10.3,10.0,9.5,10.3,10.5,10.4,10.6,10.9,10.6,10.5,10.4,10.6,10.9,10.6,10.2,10.5,10.8,10.6,10.3,10.2,10.5,10.8,10.6,10.3
Karolis GIRULIS,SHLTUM0111198601,LTU,9.9,10.3,9.6,10.0,10.4,9.9,10.3,9.6,10.0,10.4,10.1,10.7,10.4,10.4,10.6,10.1,10.7,10.4,10.4,10.6,9.6,10.7,10.5,10.0,10.2,9.6,10.7,10.5,10.0,10.2,10.6,10.5,10.1,10.5,10.0,10.6,10.5,10.1,10.5,10.0,10.3,9.6,9.1,10.5,10.6,10.3,9.6,9.1,10.5,10.6,10.8,10.6,10.6,10.4,10.5,10.8,10.6,10.6,10.4,10.5
Robert KRASKOWSKI,SHPOLM2112196701,POL,9.5,10.7,10.8,10.8,10.6,9.5,10.7,10.8,10.8,10.6,10.1,9.6,10.5,10.1,10.5,10.1,9.6,10.5,10.1,10.5,9.9,10.2,10.0,10.3,10.5,9.9,10.2,10.0,10.3,10.5,10.8,10.1,10.4,10.5,10.5,10.8,10.1,10.4,10.5,10.5,10.6,10.6,10.5,10.1,10.2,10.6,10.6,10.5,10.1,10.2,10.8,10.1,9.9,10.0,10.5,10.8,10.1,9.9,10.0,10.5
Sergey RICHTER,SHISRM2304198901,ISR,10.5,10.6,10.1,10.2,10.7,10.5,10.6,10.1,10.2,10.7,10.5,10.3,10.8,10.7,9.8,10.5,10.3,10.8,10.7,9.8,10.4,10.4,10.8,10.8,10.6,10.4,10.4,10.8,10.8,10.6,10.7,10.4,10.6,10.6,10.5,10.7,10.4,10.6,10.6,10.5,10.0,10.2,10.8,10.2,10.2,10.0,10.2,10.8,10.2,10.2,10.4,10.1,9.9,10.7,10.3,10.4,10.1,9.9,10.7,10.3
Muhammad Ezuan NASIR KHAN,SHMASM3101198901,MAS,9.8,10.3,10.4,9.8,10.1,9.8,10.3,10.4,9.8,10.1,10.7,10.4,10.3,10.3,10.6,10.7,10.4,10.3,10.3,10.6,10.6,10.4,10.5,10.8,9.7,10.6,10.4,10.5,10.8,9.7,10.9,10.2,9.7,9.4,10.4,10.9,10.2,9.7,9.4,10.4,10.9,10.8,10.9,10.2,10.6,10.9,10.8,10.9,10.2,10.6,10.1,10.3,10.7,10.6,9.7,10.1,10.3,10.7,10.6,9.7
Takayuki MATSUMOTO,SHJPNM1001198401,JPN,10.5,10.4,10.5,10.4,10.5,10.5,10.4,10.5,10.4,10.5,10.8,10.1,10.3,10.5,10.8,10.8,10.1,10.3,10.5,10.8,10.5,10.4,10.3,10.6,9.4,10.5,10.4,10.3,10.6,9.4,10.2,10.1,9.2,10.2,9.9,10.2,10.1,9.2,10.2,9.9,10.4,10.4,10.7,10.3,10.6,10.4,10.4,10.7,10.3,10.6,10.4,10.7,10.6,9.9,10.6,10.4,10.7,10.6,9.9,10.6
Rafal LUKASZYK,SHPOLM0212198801,POL,9.9,10.0,10.5,10.5,10.7,9.9,10.0,10.5,10.5,10.7,10.5,10.1,10.8,10.5,10.7,10.5,10.1,10.8,10.5,10.7,10.3,10.0,10.9,9.9,10.7,10.3,10.0,10.9,9.9,10.7,10.0,10.1,10.5,10.7,10.1,10.0,10.1,10.5,10.7,10.1,10.6,9.9,9.6,10.9,9.9,10.6,9.9,9.6,10.9,9.9,10.4,10.5,10.1,9.5,10.0,10.4,10.5,10.1,9.5,10.0
Yuriy YURKOV,SHKAZM1103198301,KAZ,10.4,10.5,10.1,10.7,10.1,10.4,10.5,10.1,10.7,10.1,10.1,10.8,9.7,9.8,10.1,10.1,10.8,9.7,9.8,10.1,10.3,9.1,10.7,9.4,10.5,10.3,9.1,10.7,9.4,10.5,9.4,10.2,10.1,10.4,10.5,9.4,10.2,10.1,10.4,10.5,10.3,10.6,10.0,10.8,10.4,10.3,10.6,10.0,10.8,10.4,8.9,10.3,10.0,10.7,10.4,8.9,10.3,10.0,10.7,10.4
Hakon SORLI,SHNORM1105199401,NOR,10.5,10.3,10.6,9.5,9.8,10.5,10.3,10.6,9.5,9.8,9.1,10.3,10.3,10.3,10.1,9.1,10.3,10.3,10.3,10.1,10.6,9.9,10.4,10.5,10.1,10.6,9.9,10.4,10.5,10.1,9.9,9.7,10.4,10.4,10.7,9.9,9.7,10.4,10.4,10.7,10.7,9.9,10.1,10.8,10.2,10.7,9.9,10.1,10.8,10.2,10.9,10.4,10.2,10.5,9.7,10.9,10.4,10.2,10.5,9.7
Vojin TOMOVIC,SHMNEM2003199601,MNE,10.0,10.7,9.5,10.0,9.4,10.0,10.7,9.5,10.0,9.4,10.3,9.9,9.5,10.1,9.3,10.3,9.9,9.5,10.1,9.3,8.8,9.3,10.0,10.4,10.4,8.8,9.3,10.0,10.4,10.4,10.1,10.0,9.2,8.0,9.9,10.1,10.0,9.2,8.0,9.9,10.3,10.2,9.8,10.2,10.5,10.3,10.2,9.8,10.2,10.5,9.9,7.8,9.8,10.6,10.6,9.9,7.8,9.8,10.6,10.6
Ivan PETRICEVIC,SHCROM3101199601,CRO,10.2,10.1,10.6,10.3,9.6,10.2,10.1,10.6,10.3,9.6,9.9,10.6,9.7,10.5,10.1,9.9,10.6,9.7,10.5,10.1,9.3,10.1,10.4,10.3,10.6,9.3,10.1,10.4,10.3,10.6,10.4,10.4,10.4,10.1,10.6,10.4,10.4,10.4,10.1,10.6,10.3,10.7,10.3,10.7,10.4,10.3,10.7,10.3,10.7,10.4,10.7,10.1,9.8,10.2,9.1,10.7,10.1,9.8,10.2,9.1
