Peter SIDI,SHHUNM1109197801,HUN,10.6,9.9,10.5,10.5,10.7,10.6,9.9,10.5,10.5,10.7,10.4,10.6,10.7,10.7,10.5,10.4,10.6,10.7,10.7,10.5,10.1,10.4,10.8,10.4,10.2,10.1,10.4,10.8,10.4,10.2,10.7,10.6,9.9,10.6,10.8,10.7,10.6,9.9,10.6,10.8,10.9,10.7,9.7,10.7,10.4,10.9,10.7,9.7,10.7,10.4,10.0,10.3,10.1,10.8,10.6,10.0,10.3,10.1,10.8,10.6
Jaml AL BULUSHI,SHOMAM2704197601,OMA,9.8,9.4,10.3,10.3,10.3,9.8,9.4,10.3,10.3,10.3,10.6,10.5,10.5,10.3,10.0,10.6,10.5,10.5,10.3,10.0,10.7,9.6,10.5,10.3,10.1,10.7,9.6,10.5,10.3,10.1,10.7,10.8,10.8,10.2,9.2,10.7,10.8,10.8,10.2,9.2,9.6,9.8,9.6,9.3,10.2,9.6,9.8,9.6,9.3,10.2,10.3,9.4,9.7,10.5,10.6,10.3,9.4,9.7,10.5,10.6
Stevan PLETIKOSIC,SHYUGM1403197201,SRB,10.5,9.7,10.8,10.8,10.4,10.5,9.7,10.8,10.8,10.4,10.4,10.5,10.7,10.9,10.5,10.4,10.5,10.7,10.9,10.5,10.8,10.8,10.5,10.6,10.6,10.8,10.8,10.5,10.6,10.6,10.3,10.5,10.5,10.9,10.6,10.3,10.5,10.5,10.9,10.6,10.6,10.2,10.7,10.6,10.2,10.6,10.2,10.7,10.6,10.2,9.6,9.4,10.0,10.4,10.0,9.6,9.4,10.0,10.4,10.0
Milenko SEBIC,SHYUGM3012198401,SRB,9.9,10.6,10.4,10.9,9.9,9.9,10.6,10.4,10.9,9.9,10.7,10.0,10.6,9.7,10.5,10.7,10.0,10.6,9.7,10.5,9.8,10.6,10.4,10.6,10.8,9.8,10.6,10.4,10.6,10.8,10.4,10.4,9.6,10.4,10.5,10.4,10.4,9.6,10.4,10.5,10.5,9.9,10.2,10.5,10.2,10.5,9.9,10.2,10.5,10.2,10.6,10.5,10.4,10.9,10.3,10.6,10.5,10.4,10.9,10.3
Abdullah Ali AL HABSI,SHOMAM0304198701,OMA,10.2,10.4,10.1,9.7,10.1,10.2,10.4,10.1,9.7,10.1,9.2,10.3,10.2,10.5,10.3,9.2,10.3,10.2,10.5,10.3,10.5,10.5,10.6,10.3,10.3,10.5,10.5,10.6,10.3,10.3,9.6,10.3,10.4,10.8,10.6,9.6,10.3,10.4,10.8,10.6,10.6,10.2,9.6,10.4,10.2,10.6,10.2,9.6,10.4,10.2,10.0,10.4,10.8,10.7,10.7,10.0,10.4,10.8,10.7,10.7
Sanjeev RAJPUT,SHINDM0501198101,IND,10.9,9.9,10.4,10.0,10.6,10.9,9.9,10.4,10.0,10.6,10.6,10.6,10.6,9.7,10.8,10.6,10.6,10.6,9.7,10.8,10.7,10.4,10.2,10.6,10.4,10.7,10.4,10.2,10.6,10.4,10.1,10.4,10.8,10.5,10.3,10.1,10.4,10.8,10.5,10.3,10.1,10.5,10.7,9.8,9.8,10.1,10.5,10.7,9.8,9.8,10.9,10.6,9.2,10.5,9.1,10.9,10.6,9.2,10.5,9.1
Simon BEYELER,SHSUIM1106198201,SUI,10.8,10.4,10.5,10.3,10.3,10.8,10.4,10.5,10.3,10.3,9.8,10.5,10.5,10.4,10.5,9.8,10.5,10.5,10.4,10.5,9.9,10.4,10.9,9.8,10.5,9.9,10.4,10.9,9.8,10.5,10.4,10.0,10.4,10.4,10.7,10.4,10.0,10.4,10.4,10.7,9.6,10.4,10.2,10.9,10.5,9.6,10.4,10.2,10.9,10.5,10.7,10.1,10.3,10.4,10.0,10.7,10.1,10.3,10.4,10.0
Amgad HOSEN,SHEGYM2310197501,EGY,10.4,10.5,10.3,10.8,10.8,10.4,10.5,10.3,10.8,10.8,10.7,10.6,10.1,9.9,10.5,10.7,10.6,10.1,9.9,10.5,9.6,9.4,10.0,10.9,10.0,9.6,9.4,10.0,10.9,10.0,10.8,9.8,9.9,10.9,9.7,10.8,9.8,9.9,10.9,9.7,10.3,10.0,10.6,9.7,10.6,10.3,10.0,10.6,9.7,10.6,10.3,10.7,10.4,9.2,10.5,10.3,10.7,10.4,9.2,10.5
Kiwon KIM,SHKORM3107198701,KOR,9.7,10.1,10.2,10.6,9.6,9.7,10.1,10.2,10.6,9.6,10.1,10.5,10.7,10.6,10.6,10.1,10.5,10.7,10.6,10.6,10.3,10.2,10.1,10.6,10.6,10.3,10.2,10.1,10.6,10.6,10.5,10.2,10.6,10.4,9.6,10.5,10.2,10.6,10.4,9.6,9.7,10.6,10.3,9.0,10.5,9.7,10.6,10.3,9.0,10.5,10.5,10.1,10.0,10.7,10.5,10.5,10.1,10.0,10.7,10.5
Leor Ovadia MADLAL,SHISRM2205199001,ISR,10.7,10.2,10.4,10.0,10.2,10.7,10.2,10.4,10.0,10.2,9.7,10.4,9.8,10.0,10.3,9.7,10.4,9.8,10.0,10.3,9.7,10.3,10.4,10.8,10.5,9.7,10.3,10.4,10.8,10.5,10.6,10.1,10.6,10.7,10.7,10.6,10.1,10.6,10.7,10.7,10.6,10.6,10.5,10.0,10.4,10.6,10.6,10.5,10.0,10.4,10.5,10.8,10.5,10.9,10.3,10.5,10.8,10.5,10.9,10.3
