Tomohiko HASEGAWA,SHJPNM0802199601,JPN,9.7,10.0,9.7,9.5,9.8,9.7,10.0,9.7,9.5,9.8,9.9,10.3,10.2,10.3,10.1,9.9,10.3,10.2,10.3,10.1,10.3,10.9,10.3,9.9,10.0,10.3,10.9,10.3,9.9,10.0,10.1,10.8,9.7,10.9,10.4,10.1,10.8,9.7,10.9,10.4,9.8,9.8,10.3,10.4,10.0,9.8,9.8,10.3,10.4,10.0,10.5,9.9,10.7,10.4,10.0,10.5,9.9,10.7,10.4,10.0
Kenley Aldridge Cua TAN,SHPHIM0212199001,PHI,9.1,10.0,8.1,9.9,9.4,9.1,10.0,8.1,9.9,9.4,9.6,8.9,10.0,10.7,10.1,9.6,8.9,10.0,10.7,10.1,9.4,9.8,9.6,10.1,10.3,9.4,9.8,9.6,10.1,10.3,9.1,9.8,9.6,10.1,9.4,9.1,9.8,9.6,10.1,9.4,10.1,10.6,9.7,9.2,10.7,10.1,10.6,9.7,9.2,10.7,10.8,9.2,10.5,9.8,10.4,10.8,9.2,10.5,9.8,10.4
Ali AL HAIDERABADI,SHBRNM1902198501,BRN,9.8,9.8,10.5,10.6,10.1,9.8,9.8,10.5,10.6,10.1,10.6,10.4,10.5,10.3,10.4,10.6,10.4,10.5,10.3,10.4,10.3,10.0,9.5,9.5,10.2,10.3,10.0,9.5,9.5,10.2,10.1,10.7,10.9,9.9,9.9,10.1,10.7,10.9,9.9,9.9,10.5,10.2,10.2,10.6,10.7,10.5,10.2,10.2,10.6,10.7,10.0,10.8,9.5,10.2,10.4,10.0,10.8,9.5,10.2,10.4
Niccolo CAMPRIANI,SHITAM0611198701,ITA,10.8,10.7,10.6,10.6,10.5,10.8,10.7,10.6,10.6,10.5,10.2,10.9,10.5,10.6,10.9,10.2,10.9,10.5,10.6,10.9,9.7,9.9,10.7,10.6,10.3,9.7,9.9,10.7,10.6,10.3,10.4,10.2,10.7,10.6,9.3,10.4,10.2,10.7,10.6,9.3,10.2,10.7,10.7,10.5,10.6,10.2,10.7,10.7,10.5,10.6,10.5,10.3,10.7,10.7,10.2,10.5,10.3,10.7,10.7,10.2
Kirill GRIGORYAN,SHRUSM0204199201,RUS,10.3,10.2,10.5,10.1,9.7,10.3,10.2,10.5,10.1,9.7,10.1,10.3,10.9,10.2,9.8,10.1,10.3,10.9,10.2,9.8,10.5,10.6,10.3,10.1,9.4,10.5,10.6,10.3,10.1,9.4,10.1,10.7,10.4,9.9,10.5,10.1,10.7,10.4,9.9,10.5,9.9,10.4,10.6,10.5,10.6,9.9,10.4,10.6,10.5,10.6,10.7,10.4,10.5,10.6,10.7,10.7,10.4,10.5,10.6,10.7
Jia Shuen Wesley LEONG,SHSINM1502199401,SIN,10.5,10.5,9.6,10.4,10.3,10.5,10.5,9.6,10.4,10.3,10.6,10.4,10.0,10.6,10.5,10.6,10.4,10.0,10.6,10.5,9.9,10.5,10.1,10.9,10.0,9.9,10.5,10.1,10.9,10.0,10.7,9.3,9.6,9.8,10.5,10.7,9.3,9.6,9.8,10.5,9.4,10.4,9.4,10.4,10.1,9.4,10.4,9.4,10.4,10.1,10.8,9.9,10.1,9.8,10.7,10.8,9.9,10.1,9.8,10.7
Vyacheslav SKOROMNOV,SHUZBM0203197401,QAT,10.2,10.9,9.8,10.0,9.6,10.2,10.9,9.8,10.0,9.6,10.1,9.7,8.9,10.2,10.5,10.1,9.7,8.9,10.2,10.5,8.8,10.1,10.3,10.4,10.6,8.8,10.1,10.3,10.4,10.6,9.7,10.1,10.5,10.5,9.9,9.7,10.1,10.5,10.5,9.9,9.8,9.8,10.3,10.0,10.1,9.8,9.8,10.3,10.0,10.1,10.8,9.1,10.5,10.2,10.6,10.8,9.1,10.5,10.2,10.6
Ali AL MUHANADI,SHQATM0310199001,QAT,10.8,10.0,10.5,10.8,10.5,10.8,10.0,10.5,10.8,10.5,9.5,10.4,10.3,10.6,10.5,9.5,10.4,10.3,10.6,10.5,10.5,10.8,10.1,10.1,9.8,10.5,10.8,10.1,10.1,9.8,10.5,10.6,10.6,9.9,10.2,10.5,10.6,10.6,9.9,10.2,10.6,10.5,10.1,10.6,10.1,10.6,10.5,10.1,10.6,10.1,10.8,10.3,10.6,10.4,10.1,10.8,10.3,10.6,10.4,10.1
Hussain AL HARBI,SHKSAM2806197603,KSA,9.6,9.2,9.7,10.5,9.8,9.6,9.2,9.7,10.5,9.8,9.5,9.9,10.6,10.5,10.6,9.5,9.9,10.6,10.5,10.6,9.8,10.0,9.8,9.8,9.4,9.8,10.0,9.8,9.8,9.4,10.4,9.4,9.0,9.5,10.2,10.4,9.4,9.0,9.5,10.2,10.1,10.3,9.9,9.6,9.3,10.1,10.3,9.9,9.6,9.3,9.8,10.5,10.6,10.7,10.2,9.8,10.5,10.6,10.7,10.2
Yuriy YURKOV,SHKAZM1103198301,KAZ,9.8,10.2,10.5,10.5,10.3,9.8,10.2,10.5,10.5,10.3,10.6,10.4,10.1,9.9,10.2,10.6,10.4,10.1,9.9,10.2,10.6,9.9,10.3,10.1,10.0,10.6,9.9,10.3,10.1,10.0,10.3,10.6,10.6,10.7,9.6,10.3,10.6,10.6,10.7,9.6,10.4,10.5,10.3,10.1,10.0,10.4,10.5,10.3,10.1,10.0,10.7,10.7,10.1,10.5,10.4,10.7,10.7,10.1,10.5,10.4
