Gagan NARANG,SHINDM0605198301,IND,10.4,10.3,10.5,10.6,10.8,10.4,10.3,10.5,10.6,10.8,10.1,10.5,10.6,10.1,10.3,10.1,10.5,10.6,10.1,10.3,9.8,10.3,10.5,10.5,10.6,9.8,10.3,10.5,10.5,10.6,9.8,10.6,9.8,10.7,10.7,9.8,10.6,9.8,10.7,10.7,10.7,9.9,10.8,10.5,10.2,10.7,9.9,10.8,10.5,10.2,10.8,10.5,10.3,10.8,10.8,10.8,10.5,10.3,10.8,10.8
Marcus MADSEN,SHSWEM1708199401,SWE,10.5,10.6,10.4,10.4,10.8,10.5,10.6,10.4,10.4,10.8,10.6,10.1,10.0,10.0,10.8,10.6,10.1,10.0,10.0,10.8,10.4,10.4,10.6,10.9,10.6,10.4,10.4,10.6,10.9,10.6,10.1,9.9,10.4,10.0,10.5,10.1,9.9,10.4,10.0,10.5,10.5,10.3,10.7,10.5,10.4,10.5,10.3,10.7,10.5,10.4,10.5,10.3,10.5,10.6,10.7,10.5,10.3,10.5,10.6,10.7
Takayuki MATSUMOTO,SHJPNM1001198401,JPN,10.4,9.9,10.2,9.7,9.7,10.4,9.9,10.2,9.7,9.7,10.4,9.6,10.6,9.4,10.3,10.4,9.6,10.6,9.4,10.3,10.4,10.3,9.9,10.4,10.0,10.4,10.3,9.9,10.4,10.0,10.8,10.5,10.2,10.6,10.4,10.8,10.5,10.2,10.6,10.4,10.5,10.3,10.2,10.0,10.5,10.5,10.3,10.2,10.0,10.5,9.8,10.5,9.9,10.1,10.0,9.8,10.5,9.9,10.1,10.0
Elias SAN MARTIN,SHCHIM3010198401,CHI,9.6,10.5,10.4,10.4,10.2,9.6,10.5,10.4,10.4,10.2,9.8,10.1,10.8,10.5,10.1,9.8,10.1,10.8,10.5,10.1,10.2,10.3,10.2,10.3,10.3,10.2,10.3,10.2,10.3,10.3,10.6,9.9,9.7,9.8,10.2,10.6,9.9,9.7,9.8,10.2,10.5,10.4,10.1,9.7,10.5,10.5,10.4,10.1,9.7,10.5,10.2,10.2,9.9,9.6,10.4,10.2,10.2,9.9,9.6,10.4
Julio Cesar IEMMA HERNANDEZ,SHVENM3107198401,VEN,10.6,10.4,10.0,10.3,10.4,10.6,10.4,10.0,10.3,10.4,10.3,10.5,10.0,10.3,10.1,10.3,10.5,10.0,10.3,10.1,10.8,10.4,10.0,10.1,10.2,10.8,10.4,10.0,10.1,10.2,10.5,10.1,10.2,9.6,10.2,10.5,10.1,10.2,9.6,10.2,10.8,10.5,10.3,10.5,10.8,10.8,10.5,10.3,10.5,10.8,10.5,10.5,10.5,10.2,10.4,10.5,10.5,10.5,10.2,10.4
Sang Do KIM,SHKORM2905198701,KOR,10.9,10.5,10.8,10.7,10.5,10.9,10.5,10.8,10.7,10.5,10.3,10.1,10.5,10.7,10.3,10.3,10.1,10.5,10.7,10.3,10.6,10.5,10.4,10.4,10.7,10.6,10.5,10.4,10.4,10.7,10.3,10.3,10.5,10.1,10.8,10.3,10.3,10.5,10.1,10.8,10.3,10.5,10.9,10.4,10.2,10.3,10.5,10.9,10.4,10.2,10.7,10.9,10.1,10.7,10.8,10.7,10.9,10.1,10.7,10.8
Salim Ali AL NAABI,SHOMAM2702198601,OMA,10.0,10.4,10.6,10.3,9.5,10.0,10.4,10.6,10.3,9.5,10.1,10.3,10.1,9.4,10.5,10.1,10.3,10.1,9.4,10.5,10.5,10.2,10.4,10.4,10.2,10.5,10.2,10.4,10.4,10.2,9.7,10.2,10.4,10.2,10.5,9.7,10.2,10.4,10.2,10.5,10.0,10.6,10.6,10.3,9.8,10.0,10.6,10.6,10.3,9.8,10.5,10.8,9.6,10.7,10.6,10.5,10.8,9.6,10.7,10.6
Denis SOKOLOV,SHRUSM1903198301,RUS,9.8,10.1,9.9,10.4,10.3,9.8,10.1,9.9,10.4,10.3,10.5,10.2,10.4,10.5,10.1,10.5,10.2,10.4,10.5,10.1,10.5,10.2,10.4,9.8,9.9,10.5,10.2,10.4,9.8,9.9,10.4,10.6,10.6,10.6,10.2,10.4,10.6,10.6,10.6,10.2,10.3,10.2,10.6,10.3,10.5,10.3,10.2,10.6,10.3,10.5,10.3,10.4,10.4,10.0,10.6,10.3,10.4,10.4,10.0,10.6
Omer AKGUN,SHTURM1502198201,TUR,9.9,10.1,10.5,10.2,10.8,9.9,10.1,10.5,10.2,10.8,10.5,10.7,10.4,10.4,10.7,10.5,10.7,10.4,10.4,10.7,10.1,9.9,10.5,10.5,10.1,10.1,9.9,10.5,10.5,10.1,10.7,10.5,10.4,10.1,10.2,10.7,10.5,10.4,10.1,10.2,10.7,10.7,10.3,10.6,10.7,10.7,10.7,10.3,10.6,10.7,9.8,10.4,10.5,10.5,10.8,9.8,10.4,10.5,10.5,10.8
Bruno Lion HECK,SHBRAM1508198601,BRA,9.3,9.9,10.2,10.7,10.4,9.3,9.9,10.2,10.7,10.4,10.1,10.8,10.6,10.1,10.5,10.1,10.8,10.6,10.1,10.5,10.4,10.4,10.8,10.2,10.4,10.4,10.4,10.8,10.2,10.4,10.5,10.5,10.2,9.9,10.4,10.5,10.5,10.2,9.9,10.4,10.1,10.2,10.5,10.0,10.2,10.1,10.2,10.5,10.0,10.2,9.7,10.4,10.6,10.1,9.9,9.7,10.4,10.6,10.1,9.9
Octavio SANDOVAL,SHGUAM2408197301,GUA,10.6,10.9,10.7,10.3,9.1,10.6,10.9,10.7,10.3,9.1,10.6,10.7,10.5,10.3,10.4,10.6,10.7,10.5,10.3,10.4,9.8,10.5,10.5,10.3,9.9,9.8,10.5,10.5,10.3,9.9,9.9,9.4,10.2,10.5,10.7,9.9,9.4,10.2,10.5,10.7,10.3,10.1,10.0,9.2,9.8,10.3,10.1,10.0,9.2,9.8,9.7,9.9,10.7,10.0,9.8,9.7,9.9,10.7,10.0,9.8
Juho KURKI,SHFINM2012199101,FIN,9.8,10.6,10.7,10.3,10.2,9.8,10.6,10.7,10.3,10.2,10.5,10.8,10.5,10.7,10.3,10.5,10.8,10.5,10.7,10.3,10.5,10.2,10.8,10.3,10.7,10.5,10.2,10.8,10.3,10.7,10.0,10.1,10.6,10.7,10.1,10.0,10.1,10.6,10.7,10.1,10.8,10.4,10.4,10.7,10.0,10.8,10.4,10.4,10.7,10.0,10.4,10.9,10.3,10.0,10.4,10.4,10.9,10.3,10.0,10.4
Michael JANKER,SHGERM2303199201,GER,9.6,10.2,10.4,10.1,10.6,9.6,10.2,10.4,10.1,10.6,10.2,10.6,10.4,10.2,10.7,10.2,10.6,10.4,10.2,10.7,9.5,10.5,10.4,9.9,10.8,9.5,10.5,10.4,9.9,10.8,10.2,10.9,10.2,10.6,10.3,10.2,10.9,10.2,10.6,10.3,10.4,9.9,10.8,10.5,9.9,10.4,9.9,10.8,10.5,9.9,10.4,10.1,10.1,10.3,9.8,10.4,10.1,10.1,10.3,9.8
